--- DANH SÁCH HIDDEN GEMS (KIM CƯƠNG ẨN - CẦN MARKETING) ---

 - SaigonFlex UM-99 | Tệp LTV: $51,356 | Bán ra: 513 cái | Lợi nhuận: $2,104,414
 - VietMotion UM-06 | Tệp LTV: $41,303 | Bán ra: 324 cái | Lợi nhuận: $598,840
 - VietMode RP-05 | Tệp LTV: $56,685 | Bán ra: 325 cái | Lợi nhuận: $590,722
 - SaigonFlex UC-12 | Tệp LTV: $40,260 | Bán ra: 397 cái | Lợi nhuận: $580,898
 - VietMode MP-11 | Tệp LTV: $58,273 | Bán ra: 281 cái | Lợi nhuận: $579,824
 - SaigonFlex UM-16 | Tệp LTV: $58,819 | Bán ra: 159 cái | Lợi nhuận: $577,668
 - MekongFit UR-05 | Tệp LTV: $46,822 | Bán ra: 473 cái | Lợi nhuận: $577,624
 - HanoiStreet UE-35 | Tệp LTV: $44,829 | Bán ra: 282 cái | Lợi nhuận: $560,340
 - LotusWear UE-59 | Tệp LTV: $59,243 | Bán ra: 124 cái | Lợi nhuận: $547,020
 - PhoenixWear UE-17 | Tệp LTV: $44,541 | Bán ra: 347 cái | Lợi nhuận: $532,533
 - VietMode MP-14 | Tệp LTV: $56,559 | Bán ra: 355 cái | Lợi nhuận: $506,057
 - DragonWear UM-27 | Tệp LTV: $64,320 | Bán ra: 113 cái | Lợi nhuận: $494,384
 - LotusWear UE-28 | Tệp LTV: $66,647 | Bán ra: 131 cái | Lợi nhuận: $483,983
 - LotusWear UR-24 | Tệp LTV: $48,265 | Bán ra: 358 cái | Lợi nhuận: $483,665
 - VietMode MA-23 | Tệp LTV: $62,683 | Bán ra: 150 cái | Lợi nhuận: $478,467
 - LotusWear UE-25 | Tệp LTV: $53,637 | Bán ra: 158 cái | Lợi nhuận: $464,313
 - VietMode MP-28 | Tệp LTV: $55,166 | Bán ra: 289 cái | Lợi nhuận: $461,091
 - VietMode UE-15 | Tệp LTV: $42,228 | Bán ra: 157 cái | Lợi nhuận: $446,562
 - VietMode RP-31 | Tệp LTV: $62,557 | Bán ra: 243 cái | Lợi nhuận: $445,032
 - VietMode UE-10 | Tệp LTV: $39,369 | Bán ra: 320 cái | Lợi nhuận: $444,726
 - PhoenixWear UC-15 | Tệp LTV: $45,684 | Bán ra: 259 cái | Lợi nhuận: $437,794
 - SaigonCore UE-08 | Tệp LTV: $53,134 | Bán ra: 107 cái | Lợi nhuận: $433,780
 - DragonWear UM-41 | Tệp LTV: $66,553 | Bán ra: 113 cái | Lợi nhuận: $433,159
 - VietMode MP-27 | Tệp LTV: $48,359 | Bán ra: 278 cái | Lợi nhuận: $429,640
 - UrbanVN RP-53 | Tệp LTV: $51,166 | Bán ra: 418 cái | Lợi nhuận: $416,899
 - MekongFit UM-03 | Tệp LTV: $39,517 | Bán ra: 272 cái | Lợi nhuận: $415,624
 - LotusWear UR-25 | Tệp LTV: $39,496 | Bán ra: 163 cái | Lợi nhuận: $415,540
 - PhoenixWear UM-14 | Tệp LTV: $39,735 | Bán ra: 369 cái | Lợi nhuận: $413,515
 - LotusWear UR-10 | Tệp LTV: $42,811 | Bán ra: 370 cái | Lợi nhuận: $396,664
 - BambooCraft UM-10 | Tệp LTV: $46,646 | Bán ra: 106 cái | Lợi nhuận: $392,239
 - SaigonFlex UC-11 | Tệp LTV: $41,606 | Bán ra: 288 cái | Lợi nhuận: $388,672
 - SaigonCore UE-24 | Tệp LTV: $53,950 | Bán ra: 198 cái | Lợi nhuận: $387,989
 - SaigonFlex UC-19 | Tệp LTV: $51,870 | Bán ra: 142 cái | Lợi nhuận: $386,993
 - UrbanVN RP-54 | Tệp LTV: $50,426 | Bán ra: 426 cái | Lợi nhuận: $385,948
 - VietMode RP-90 | Tệp LTV: $52,154 | Bán ra: 396 cái | Lợi nhuận: $374,646
 - MekongFit RS-11 | Tệp LTV: $46,786 | Bán ra: 417 cái | Lợi nhuận: $371,741
 - VietMode MP-29 | Tệp LTV: $42,531 | Bán ra: 465 cái | Lợi nhuận: $371,366
 - SaigonFlex UM-10 | Tệp LTV: $53,015 | Bán ra: 179 cái | Lợi nhuận: $365,829
 - LotusWear UR-32 | Tệp LTV: $56,434 | Bán ra: 147 cái | Lợi nhuận: $361,055
 - VietMode RP-36 | Tệp LTV: $42,224 | Bán ra: 363 cái | Lợi nhuận: $360,030
 - SaigonFlex UC-52 | Tệp LTV: $41,061 | Bán ra: 380 cái | Lợi nhuận: $359,019
 - PhoenixWear MA-05 | Tệp LTV: $53,683 | Bán ra: 184 cái | Lợi nhuận: $357,887
 - SaigonCore UE-07 | Tệp LTV: $49,529 | Bán ra: 183 cái | Lợi nhuận: $349,326
 - MekongFit UE-20 | Tệp LTV: $44,371 | Bán ra: 176 cái | Lợi nhuận: $347,953
 - VietMode RP-09 | Tệp LTV: $70,860 | Bán ra: 245 cái | Lợi nhuận: $344,182
 - UrbanVN RS-03 | Tệp LTV: $41,563 | Bán ra: 501 cái | Lợi nhuận: $343,869
 - DragonWear UM-16 | Tệp LTV: $45,769 | Bán ra: 147 cái | Lợi nhuận: $340,909
 - LotusWear UE-02 | Tệp LTV: $55,703 | Bán ra: 68 cái | Lợi nhuận: $338,395
 - HanoiStreet UE-06 | Tệp LTV: $46,544 | Bán ra: 136 cái | Lợi nhuận: $337,791
 - DragonWear UC-07 | Tệp LTV: $46,971 | Bán ra: 92 cái | Lợi nhuận: $330,773
 - SaigonFlex UM-19 | Tệp LTV: $45,384 | Bán ra: 259 cái | Lợi nhuận: $325,293
 - DragonWear UR-04 | Tệp LTV: $44,095 | Bán ra: 493 cái | Lợi nhuận: $323,454
 - LotusWear UE-45 | Tệp LTV: $73,029 | Bán ra: 75 cái | Lợi nhuận: $322,102
 - LotusWear UE-29 | Tệp LTV: $55,839 | Bán ra: 106 cái | Lợi nhuận: $319,474
 - HanoiStreet UE-05 | Tệp LTV: $62,572 | Bán ra: 125 cái | Lợi nhuận: $318,824
 - DragonWear UR-35 | Tệp LTV: $39,920 | Bán ra: 139 cái | Lợi nhuận: $317,054
 - LotusWear UE-96 | Tệp LTV: $39,700 | Bán ra: 196 cái | Lợi nhuận: $316,486
 - BambooCraft UM-18 | Tệp LTV: $51,174 | Bán ra: 91 cái | Lợi nhuận: $313,724
 - VietMode RP-49 | Tệp LTV: $63,130 | Bán ra: 164 cái | Lợi nhuận: $312,777
 - VietMode RP-42 | Tệp LTV: $42,790 | Bán ra: 167 cái | Lợi nhuận: $309,974
 - PhoenixWear UC-03 | Tệp LTV: $56,420 | Bán ra: 217 cái | Lợi nhuận: $309,044
 - HanoiStreet UE-18 | Tệp LTV: $42,422 | Bán ra: 434 cái | Lợi nhuận: $305,064
 - VietMode UE-03 | Tệp LTV: $51,759 | Bán ra: 128 cái | Lợi nhuận: $303,516
 - UrbanVN UR-42 | Tệp LTV: $42,946 | Bán ra: 265 cái | Lợi nhuận: $301,259
 - VietMode MA-33 | Tệp LTV: $57,702 | Bán ra: 108 cái | Lợi nhuận: $301,015
 - VietMode RP-99 | Tệp LTV: $46,921 | Bán ra: 518 cái | Lợi nhuận: $278,211
 - SaigonCore UM-03 | Tệp LTV: $39,275 | Bán ra: 207 cái | Lợi nhuận: $278,154
 - VietMode MP-12 | Tệp LTV: $53,708 | Bán ra: 274 cái | Lợi nhuận: $268,434
 - SaigonFlex UM-89 | Tệp LTV: $60,936 | Bán ra: 70 cái | Lợi nhuận: $265,390
 - VietMode RP-36 | Tệp LTV: $49,120 | Bán ra: 469 cái | Lợi nhuận: $258,165
 - VietMode RP-98 | Tệp LTV: $55,417 | Bán ra: 156 cái | Lợi nhuận: $256,248
 - DragonWear UR-21 | Tệp LTV: $41,227 | Bán ra: 236 cái | Lợi nhuận: $254,150
 - MekongFit RP-21 | Tệp LTV: $45,414 | Bán ra: 185 cái | Lợi nhuận: $253,093
 - VietMode RP-88 | Tệp LTV: $56,366 | Bán ra: 226 cái | Lợi nhuận: $252,231
 - SaigonFlex UC-03 | Tệp LTV: $51,053 | Bán ra: 82 cái | Lợi nhuận: $249,031
 - SaigonCore UE-17 | Tệp LTV: $46,058 | Bán ra: 166 cái | Lợi nhuận: $248,880
 - LotusWear UR-07 | Tệp LTV: $41,823 | Bán ra: 100 cái | Lợi nhuận: $243,311
 - PhoenixWear UM-06 | Tệp LTV: $42,830 | Bán ra: 216 cái | Lợi nhuận: $243,113
 - VietMode MA-41 | Tệp LTV: $51,414 | Bán ra: 200 cái | Lợi nhuận: $242,144
 - VietMode RP-24 | Tệp LTV: $45,798 | Bán ra: 132 cái | Lợi nhuận: $240,996
 - UrbanVN UE-02 | Tệp LTV: $45,915 | Bán ra: 205 cái | Lợi nhuận: $240,603
 - VietMode RP-96 | Tệp LTV: $52,132 | Bán ra: 304 cái | Lợi nhuận: $238,260
 - SaigonFlex UM-63 | Tệp LTV: $43,888 | Bán ra: 78 cái | Lợi nhuận: $232,601
 - PhoenixWear UE-08 | Tệp LTV: $44,600 | Bán ra: 95 cái | Lợi nhuận: $228,656
 - VietMode RP-39 | Tệp LTV: $47,229 | Bán ra: 407 cái | Lợi nhuận: $227,910
 - DragonWear UE-06 | Tệp LTV: $50,351 | Bán ra: 134 cái | Lợi nhuận: $220,173
 - VietMode RP-46 | Tệp LTV: $46,032 | Bán ra: 144 cái | Lợi nhuận: $218,605
 - HanoiStreet UE-42 | Tệp LTV: $43,693 | Bán ra: 78 cái | Lợi nhuận: $218,347
 - LotusWear UE-93 | Tệp LTV: $96,160 | Bán ra: 50 cái | Lợi nhuận: $216,019
 - VietMode RP-65 | Tệp LTV: $55,648 | Bán ra: 199 cái | Lợi nhuận: $210,748
 - VietMode RS-84 | Tệp LTV: $39,583 | Bán ra: 170 cái | Lợi nhuận: $210,235
 - VietMode RP-05 | Tệp LTV: $60,579 | Bán ra: 193 cái | Lợi nhuận: $208,466
 - LotusWear UR-46 | Tệp LTV: $43,760 | Bán ra: 211 cái | Lợi nhuận: $207,085
 - UrbanVN UR-25 | Tệp LTV: $44,349 | Bán ra: 211 cái | Lợi nhuận: $206,988
 - SaigonFlex UC-92 | Tệp LTV: $51,828 | Bán ra: 103 cái | Lợi nhuận: $206,707
 - VietMode RP-10 | Tệp LTV: $61,219 | Bán ra: 285 cái | Lợi nhuận: $204,485
 - LotusWear UE-74 | Tệp LTV: $52,660 | Bán ra: 37 cái | Lợi nhuận: $203,669
 - SaigonCore UC-04 | Tệp LTV: $39,588 | Bán ra: 114 cái | Lợi nhuận: $202,053
 - VietMode RP-37 | Tệp LTV: $50,007 | Bán ra: 145 cái | Lợi nhuận: $201,149
 - DragonWear MA-23 | Tệp LTV: $53,423 | Bán ra: 101 cái | Lợi nhuận: $199,266
 - VietMode MA-13 | Tệp LTV: $41,329 | Bán ra: 88 cái | Lợi nhuận: $189,026
 - VietMode RP-85 | Tệp LTV: $64,149 | Bán ra: 104 cái | Lợi nhuận: $187,848
 - BambooCraft UC-12 | Tệp LTV: $41,982 | Bán ra: 213 cái | Lợi nhuận: $187,613
 - VietMode MA-14 | Tệp LTV: $41,285 | Bán ra: 77 cái | Lợi nhuận: $186,746
 - UrbanVN UE-11 | Tệp LTV: $42,001 | Bán ra: 130 cái | Lợi nhuận: $186,026
 - PhoenixWear UE-04 | Tệp LTV: $46,696 | Bán ra: 257 cái | Lợi nhuận: $185,052
 - VietMode RP-62 | Tệp LTV: $42,687 | Bán ra: 124 cái | Lợi nhuận: $182,667
 - VietMode UR-01 | Tệp LTV: $39,714 | Bán ra: 80 cái | Lợi nhuận: $181,897
 - VietMode MA-39 | Tệp LTV: $57,015 | Bán ra: 94 cái | Lợi nhuận: $180,665
 - LotusWear UE-53 | Tệp LTV: $50,065 | Bán ra: 275 cái | Lợi nhuận: $179,747
 - VietMode RP-99 | Tệp LTV: $40,392 | Bán ra: 363 cái | Lợi nhuận: $179,194
 - VietMode RS-21 | Tệp LTV: $48,026 | Bán ra: 86 cái | Lợi nhuận: $172,916
 - VietMode RP-84 | Tệp LTV: $47,743 | Bán ra: 131 cái | Lợi nhuận: $169,207
 - VietMode RP-21 | Tệp LTV: $42,735 | Bán ra: 122 cái | Lợi nhuận: $163,924
 - VietMode RP-13 | Tệp LTV: $43,148 | Bán ra: 107 cái | Lợi nhuận: $163,611
 - LotusWear UM-06 | Tệp LTV: $48,313 | Bán ra: 59 cái | Lợi nhuận: $160,211
 - SaigonFlex RS-01 | Tệp LTV: $39,620 | Bán ra: 98 cái | Lợi nhuận: $157,965
 - SaigonCore UE-02 | Tệp LTV: $63,908 | Bán ra: 46 cái | Lợi nhuận: $157,225
 - VietMode RS-41 | Tệp LTV: $40,127 | Bán ra: 121 cái | Lợi nhuận: $156,381
 - SaigonFlex UM-22 | Tệp LTV: $42,732 | Bán ra: 75 cái | Lợi nhuận: $155,452
 - VietMode RP-93 | Tệp LTV: $47,173 | Bán ra: 170 cái | Lợi nhuận: $153,142
 - VietMode RP-71 | Tệp LTV: $49,451 | Bán ra: 111 cái | Lợi nhuận: $152,159
 - SaigonCore MA-05 | Tệp LTV: $47,801 | Bán ra: 58 cái | Lợi nhuận: $149,431
 - SaigonCore UR-03 | Tệp LTV: $41,442 | Bán ra: 85 cái | Lợi nhuận: $149,107
 - HanoiStreet RP-02 | Tệp LTV: $41,452 | Bán ra: 301 cái | Lợi nhuận: $148,277
 - VietMode RP-95 | Tệp LTV: $51,290 | Bán ra: 267 cái | Lợi nhuận: $147,806
 - PhoenixWear UR-02 | Tệp LTV: $48,827 | Bán ra: 183 cái | Lợi nhuận: $147,135
 - MekongFit RP-58 | Tệp LTV: $39,733 | Bán ra: 468 cái | Lợi nhuận: $145,720
 - VietMode RP-07 | Tệp LTV: $52,541 | Bán ra: 107 cái | Lợi nhuận: $145,617
 - DragonWear MA-13 | Tệp LTV: $44,080 | Bán ra: 219 cái | Lợi nhuận: $143,239
 - VietMode RS-07 | Tệp LTV: $40,725 | Bán ra: 95 cái | Lợi nhuận: $142,100
 - DragonWear UE-10 | Tệp LTV: $60,407 | Bán ra: 63 cái | Lợi nhuận: $141,195
 - VietMode RP-83 | Tệp LTV: $43,518 | Bán ra: 107 cái | Lợi nhuận: $139,892
 - LotusWear UE-46 | Tệp LTV: $45,945 | Bán ra: 75 cái | Lợi nhuận: $139,501
 - PhoenixWear UC-09 | Tệp LTV: $42,104 | Bán ra: 139 cái | Lợi nhuận: $139,461
 - MekongFit RP-22 | Tệp LTV: $42,867 | Bán ra: 193 cái | Lợi nhuận: $138,616
 - VietMode RP-35 | Tệp LTV: $38,678 | Bán ra: 362 cái | Lợi nhuận: $135,843
 - VietMode RP-87 | Tệp LTV: $52,096 | Bán ra: 185 cái | Lợi nhuận: $133,308
 - UrbanVN RS-12 | Tệp LTV: $45,283 | Bán ra: 265 cái | Lợi nhuận: $133,297
 - VietMode RS-06 | Tệp LTV: $40,213 | Bán ra: 118 cái | Lợi nhuận: $130,620
 - VietMode RP-04 | Tệp LTV: $67,385 | Bán ra: 284 cái | Lợi nhuận: $126,542
 - LotusWear UE-03 | Tệp LTV: $58,211 | Bán ra: 91 cái | Lợi nhuận: $126,221
 - VietMode RP-00 | Tệp LTV: $47,673 | Bán ra: 492 cái | Lợi nhuận: $123,976
 - PhoenixWear UE-07 | Tệp LTV: $70,281 | Bán ra: 32 cái | Lợi nhuận: $123,838
 - VietMode RP-44 | Tệp LTV: $47,593 | Bán ra: 253 cái | Lợi nhuận: $123,730
 - SaigonCore UC-10 | Tệp LTV: $42,044 | Bán ra: 80 cái | Lợi nhuận: $123,420
 - SaigonCore UR-01 | Tệp LTV: $41,793 | Bán ra: 194 cái | Lợi nhuận: $118,793
 - DragonWear MA-45 | Tệp LTV: $45,943 | Bán ra: 66 cái | Lợi nhuận: $116,529
 - SaigonFlex UC-93 | Tệp LTV: $40,641 | Bán ra: 57 cái | Lợi nhuận: $116,441
 - VietMode RP-40 | Tệp LTV: $43,852 | Bán ra: 379 cái | Lợi nhuận: $113,846
 - VietMode RP-58 | Tệp LTV: $39,322 | Bán ra: 118 cái | Lợi nhuận: $113,693
 - LotusWear UE-18 | Tệp LTV: $46,471 | Bán ra: 87 cái | Lợi nhuận: $113,415
 - VietMode RP-81 | Tệp LTV: $48,281 | Bán ra: 216 cái | Lợi nhuận: $112,637
 - VietMode RP-66 | Tệp LTV: $48,030 | Bán ra: 233 cái | Lợi nhuận: $111,090
 - PhoenixWear UR-19 | Tệp LTV: $43,161 | Bán ra: 487 cái | Lợi nhuận: $110,647
 - VietMode RP-38 | Tệp LTV: $38,742 | Bán ra: 143 cái | Lợi nhuận: $108,793
 - SaigonFlex UM-87 | Tệp LTV: $44,920 | Bán ra: 89 cái | Lợi nhuận: $107,130
 - LotusWear UR-49 | Tệp LTV: $41,816 | Bán ra: 143 cái | Lợi nhuận: $107,043
 - PhoenixWear MA-04 | Tệp LTV: $41,970 | Bán ra: 44 cái | Lợi nhuận: $106,404
 - DragonWear MA-07 | Tệp LTV: $55,608 | Bán ra: 84 cái | Lợi nhuận: $106,005
 - NamStyle YY-31 | Tệp LTV: $44,282 | Bán ra: 135 cái | Lợi nhuận: $103,068
 - DragonWear MA-15 | Tệp LTV: $48,360 | Bán ra: 82 cái | Lợi nhuận: $102,679
 - VietMode MP-07 | Tệp LTV: $44,407 | Bán ra: 44 cái | Lợi nhuận: $98,736
 - VietMode MA-09 | Tệp LTV: $50,708 | Bán ra: 72 cái | Lợi nhuận: $98,059
 - SaigonFlex UE-01 | Tệp LTV: $59,932 | Bán ra: 67 cái | Lợi nhuận: $93,551
 - VietMode UE-14 | Tệp LTV: $43,706 | Bán ra: 86 cái | Lợi nhuận: $90,924
 - SaigonFlex UC-01 | Tệp LTV: $47,934 | Bán ra: 107 cái | Lợi nhuận: $90,887
 - DragonWear MA-28 | Tệp LTV: $41,102 | Bán ra: 34 cái | Lợi nhuận: $88,098
 - SaigonCore UE-16 | Tệp LTV: $46,441 | Bán ra: 168 cái | Lợi nhuận: $86,526
 - VietMode UE-02 | Tệp LTV: $42,057 | Bán ra: 36 cái | Lợi nhuận: $86,421
 - VietMode RP-22 | Tệp LTV: $41,755 | Bán ra: 110 cái | Lợi nhuận: $84,370
 - SaigonCore UR-06 | Tệp LTV: $51,118 | Bán ra: 37 cái | Lợi nhuận: $84,231
 - VietMode RP-77 | Tệp LTV: $55,218 | Bán ra: 48 cái | Lợi nhuận: $82,663
 - VietMode MA-34 | Tệp LTV: $43,020 | Bán ra: 75 cái | Lợi nhuận: $81,549
 - NamStyle YY-08 | Tệp LTV: $43,302 | Bán ra: 312 cái | Lợi nhuận: $81,547
 - SaigonFlex UE-02 | Tệp LTV: $56,916 | Bán ra: 68 cái | Lợi nhuận: $81,179
 - VietMode RP-72 | Tệp LTV: $39,498 | Bán ra: 105 cái | Lợi nhuận: $80,538
 - UrbanVN RS-02 | Tệp LTV: $42,701 | Bán ra: 276 cái | Lợi nhuận: $77,036
 - HanoiStreet RP-06 | Tệp LTV: $39,918 | Bán ra: 441 cái | Lợi nhuận: $77,026
 - LotusWear UE-76 | Tệp LTV: $57,909 | Bán ra: 41 cái | Lợi nhuận: $75,921
 - DragonWear RP-13 | Tệp LTV: $102,130 | Bán ra: 84 cái | Lợi nhuận: $72,519
 - DragonWear RP-17 | Tệp LTV: $50,394 | Bán ra: 67 cái | Lợi nhuận: $70,047
 - SaigonCore UE-09 | Tệp LTV: $41,720 | Bán ra: 168 cái | Lợi nhuận: $69,200
 - VietMode RP-82 | Tệp LTV: $48,411 | Bán ra: 171 cái | Lợi nhuận: $68,302
 - UrbanVN UR-31 | Tệp LTV: $105,674 | Bán ra: 47 cái | Lợi nhuận: $67,263
 - UrbanVN RP-21 | Tệp LTV: $43,136 | Bán ra: 194 cái | Lợi nhuận: $66,739
 - VietMode RP-94 | Tệp LTV: $69,197 | Bán ra: 45 cái | Lợi nhuận: $66,667
 - UrbanVN RP-15 | Tệp LTV: $42,776 | Bán ra: 510 cái | Lợi nhuận: $66,139
 - UrbanVN RP-26 | Tệp LTV: $49,536 | Bán ra: 186 cái | Lợi nhuận: $65,313
 - MekongFit UE-02 | Tệp LTV: $43,143 | Bán ra: 57 cái | Lợi nhuận: $63,242
 - NamStyle YY-10 | Tệp LTV: $46,466 | Bán ra: 243 cái | Lợi nhuận: $62,550
 - VietMotion RP-24 | Tệp LTV: $49,517 | Bán ra: 190 cái | Lợi nhuận: $61,234
 - UrbanVN RP-16 | Tệp LTV: $42,167 | Bán ra: 484 cái | Lợi nhuận: $60,436
 - LotusWear UR-50 | Tệp LTV: $65,861 | Bán ra: 81 cái | Lợi nhuận: $60,393
 - VietMode RS-10 | Tệp LTV: $43,744 | Bán ra: 80 cái | Lợi nhuận: $60,003
 - VietMode RP-52 | Tệp LTV: $42,154 | Bán ra: 88 cái | Lợi nhuận: $59,588
 - VietMode RP-75 | Tệp LTV: $61,006 | Bán ra: 37 cái | Lợi nhuận: $58,528
 - UrbanVN RP-25 | Tệp LTV: $46,689 | Bán ra: 159 cái | Lợi nhuận: $58,241
 - VietMode RP-86 | Tệp LTV: $55,460 | Bán ra: 82 cái | Lợi nhuận: $58,084
 - LotusWear UR-20 | Tệp LTV: $45,165 | Bán ra: 64 cái | Lợi nhuận: $54,331
 - VietMode RP-93 | Tệp LTV: $73,099 | Bán ra: 48 cái | Lợi nhuận: $54,055
